year	month	temperature	precipitation	relative_humidity	Location	study
2003	3	256.6	40	73	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	4	262.8	38	77	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	5	269.7	18	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	6	274.8	14	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	7	277.3	27	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	8	276.8	18	89	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	9	272.3	16	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	10	268.3	35	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	11	265.5	29	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2003	12	255.3	15	71	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	1	257.9	17	75	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	2	257.9	18	75	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	3	266.3	46	85	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	4	268.8	24	86	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	5	270	10	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	6	274.2	9	85	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	7	278.3	33	92	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	8	276.5	24	91	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	9	273.1	18	87	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	10	269.3	35	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	11	261.1	28	74	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2004	12	266	49	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	1	265.8	41	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	2	265.6	56	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	3	257.5	33	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	4	263.6	22	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	5	269.8	20	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	6	275.1	6	88	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	7	277.5	47	89	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	8	277.5	19	91	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	9	271.9	23	85	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	10	267.6	43	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	11	268.5	52	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2005	12	268.5	23	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	1	269.3	106	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	2	262.8	22	78	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	3	257.9	23	75	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	4	270.9	16	86	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	5	271.4	14	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	6	275.7	14	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	7	278	15	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	8	277	29	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	9	272.5	34	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	10	267.5	36	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	11	268.5	52	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2006	12	266.7	38	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	1	263.6	20	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	2	263	10	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	3	265.7	53	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	4	262.1	23	77	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	5	269.6	16	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	6	275.4	10	87	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	7	277.5	11	88	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	8	276.4	40	87	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	9	273	28	86	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	10	270.1	89	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	11	267.6	34	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2007	12	265.3	66	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	1	265.3	51	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	2	263.7	38	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	3	257.3	6	75	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	4	261.8	21	77	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	5	269.3	13	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	6	274.1	32	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	7	277.4	19	89	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	8	276.4	22	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	9	275	50	89	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	10	267.1	28	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	11	264	28	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2008	12	264.7	56	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	1	260.2	17	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	2	260.9	30	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	3	261.6	27	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	4	258.3	42	74	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	5	270.2	26	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	6	274.2	45	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	7	277.2	12	87	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	8	276.7	13	92	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	9	273.6	13	87	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	10	269.6	44	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	11	270.7	30	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2009	12	267.4	21	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	1	265.2	71	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	2	262.1	5	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	3	258.8	17	77	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	4	264.5	12	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	5	271.4	12	85	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	6	274.6	19	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	7	277	8	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	8	275.7	25	88	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	9	273.8	20	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	10	269.9	41	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	11	261.8	27	75	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2010	12	260	33	77	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	1	258	30	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	2	261.8	40	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	3	261.5	73	78	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	4	267.3	24	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	5	269.6	11	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	6	275	13	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	7	277	20	89	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	8	276.8	8	89	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	9	275.6	18	93	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	10	269.8	45	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	11	266.7	65	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2011	12	266.6	15	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	1	269.3	91	85	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	2	267.3	47	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	3	267.3	17	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	4	262.9	10	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	5	269.2	24	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	6	274.7	12	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	7	277	20	88	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	8	276.6	30	88	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	9	274.5	25	88	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	10	270.3	17	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	11	266.4	17	77	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2012	12	265.7	37	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	1	264.8	34	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	2	261.5	12	77	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	3	257.1	5	72	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	4	263	12	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	5	269.8	24	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	6	275.5	45	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	7	278	27	89	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	8	278	41	89	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	9	275.4	22	89	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	10	268.3	42	78	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	11	265.1	37	74	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2013	12	264.7	13	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	1	268	11	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	2	270.3	11	84	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	3	264.5	31	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	4	262.8	26	74	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	5	269.3	27	77	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	6	274.5	21	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	7	278	40	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	8	276.8	25	86	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	9	273.2	53	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	10	270.1	44	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	11	266	51	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2014	12	262.8	13	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	1	264.9	32	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	2	258.5	60	72	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	3	265.7	63	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	4	266.4	19	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	5	269	6	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	6	275.2	11	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	7	277.5	6	86	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	8	277.4	40	91	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	9	274	46	88	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	10	271.1	38	85	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	11	268.9	15	81	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2015	12	267.1	62	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	1	268.5	35	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	2	267.2	4	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	3	266.2	36	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	4	266	17	78	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	5	272.9	17	85	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	6	276.2	29	82	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	7	278.9	43	87	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	8	276.9	35	85	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	9	275.5	57	90	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	10	274.6	75	88	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	11	271.1	62	83	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2016	12	267.4	38	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	1	262.5	41	72	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	2	265.4	49	78	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	3	260.5	39	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	4	263.2	14	77	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	5	267	13	76	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	6	275.3	15	85	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	7	277.9	30	86	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	8	277	31	86	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	9	276.4	67	91	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	10	272.4	19	87	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	11	268.5	3	80	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2017	12	267.6	26	79	"A1a, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	1	263.9	37	80	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	2	261.5	3	78	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	3	258.7	17	76	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	4	259.5	18	76	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	5	267.1	18	80	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	6	273.5	52	80	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	7	276.3	37	88	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	8	275	17	90	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	9	273.4	30	89	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	10	273.2	49	92	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	11	269.1	20	85	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2000	12	261.8	16	76	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	1	264	36	81	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	2	263.3	25	79	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	3	256.2	7	73	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	4	260	11	78	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	5	268.3	15	80	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	6	274.1	31	84	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	7	276.6	16	90	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	8	276.4	18	91	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	9	274.2	38	90	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	10	267.5	33	82	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	11	261.2	54	75	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2001	12	262.6	30	77	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	1	260.4	39	76	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	2	258.5	15	76	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	3	258	11	72	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	4	266.2	36	82	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
2002	5	268	6	78	"A1e, Xutm33 (m): 524200, Yutm33 (m): 8678200, Z (m): 17"	fences
