sample	sampling_date	study	rhizome_length	rhizome_height	rhizome_width	rhizome_volume	stems	stem_length	inflorescence_length	flower_lenghth	bulbil_length	leaves	leaf_length	stipe_length	fresh_root_weight	root_length	pH	organic_matter_percentage	soil_nitrogen	soil_carbon	CN_ratio	moisture	conductivity	sequencing_type	Area	Locality	Description	Coordinates_N_UTM	Coordinates_E_UTM	UTM	Warming	Vegetation	Block	Fence	alldetectedASVs	noofseq	ASVs_rarefied	ratioFlToBul	ratioInflToStem	Pathotrophs	Pathotroph_saprotroph	Pathotroph_saprotroph_symbiotroph	pathotroph_symbiotroph	saprotroph	saprotroph_symbiotroph	symbiotroph	ratio_symbio_sapro	ratio_symbio_sapro_reads	tempC_meanyear	prec_sumyear	composition_abu	composition_pa	Shannon_H	Pielou_J	mean_July_temp_yearpriortosampling	mean_July_temp_yearofsampling
1.1.28	27/07/2013	isdammen	15.55	4.41	3.13	214.6	1	29.24	10.72	0	10.72	4	9.67	14.31	0.1696	81.45	6.27	13.79	0.417	6.326	15.188	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	170	35723	166	0	0.366621067	0	14	6	0	24	14	66	2.75	0.802197802	-3.275	792	0.067250027	0.008884808	3.55186044	0.696461464	4.15	5.15
1.1.29	27/07/2013	isdammen	10.7	3.4	3.41	124.1	1	22.71	8.53	0	8.53	3	11.72	10.39	0.1101	43.11	6.33	10.18	0.327	4.981	15.214	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	157	21915	157	0	0.37560546	1	19	4	0	23	15	56	2.434782609	0.8	-3.275	792	0.205795816	0.088542203	3.650776891	0.722033111	4.15	5.15
1.1.30	27/07/2013	isdammen	10.58	4.08	3.48	150.2	1	15.95	8.42	0	8.42	4	12.23	5.58	0.1164	56.7	6.31	11.1	0.319	4.415	13.854	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	134	46316	128	0	0.527899687	0	13	0	0	11	7	65	5.909090909	15.33333333	-3.275	792	0.045572424	-0.104637018	3.733789953	0.775903348	4.15	5.15
1.1.31	09/09/2013	isdammen	12.75	5.03	3.19	204.6	1	37.26	15.75	0	15.75	6	10.84	12.77	0.187	107.05	6.47	11.03	0.287	4.29	14.959	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	137	26740	137	0	0.422705314	0	14	0	0	38	6	57	1.5	0.734463277	-3.275	792	0.054014136	-0.157923287	3.582603912	0.72817435	4.15	5.15
1.1.32	09/09/2013	isdammen	8.61	6.3	3.31	179.5	1	20.76	10.66	0	10.66	5	6.1	7.6	0.148	62.06	6.44	9.04	0.312	5.03	16.147	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	150	53023	141	0	0.513487476	0	12	2	0	18	5	64	3.555555556	1.811764706	-3.275	792	0.141286864	-0.015980783	3.723055139	0.750185713	4.15	5.15
1.1.33	09/09/2013	isdammen	8.66	2.55	2.76	60.9	1	25.92	9.32	0	9.32	5	3.34	6.5	0.1492	89.06	6.46	9.26	0.323	5.129	15.878	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	101	49761	93	0	0.359567901	0	8	2	0	12	7	52	4.333333333	1.069620253	-3.275	792	0.225636755	0.024656511	3.39473192	0.752568754	4.15	5.15
1.1.34	09/09/2013	isdammen	12.17	5.1	3.87	240.2	1	37.22	9.69	0	9.69	7	15.72	11.27	0.1716	72.58	6.42	10.65	0.301	4.845	16.104	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	143	35702	135	0	0.260343901	0	11	3	0	20	7	66	3.3	2.339622642	-3.275	792	0.047075281	-0.015501195	3.425022445	0.694100828	4.15	5.15
1.1.35	09/09/2013	isdammen	10.71	9.09	4.39	427.4	1	32.25	9.24	0	9.24	6	15.55	16.59	0.1451	47.89	6.49	9.17	0.277	4.444	16.047	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	166	46944	157	0	0.286511628	2	16	4	0	38	12	29	0.763157895	0.319327731	-3.275	792	0.176968068	0.005454583	3.245053916	0.641791171	4.15	5.15
1.1.6	27/07/2012	isdammen	9.41	5.09	9.09	435.4	1	23.36	12.16	3.66	8.88	4	15.52	7.25	0.1186	57.98	6.3	10.3	0.39	5.896	15.125	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	325	389012	240	0.412162162	0.520547945	0	14	2	0	43	16	91	2.11627907	2.128205128	-4.4833333	851	0.093996862	-0.126686214	3.418864019	0.630211155	4.15	4.15
1.1.7	27/07/2012	isdammen	6.96	3.48	5.64	136.6	1	37.66	14.3	2.28	13.87	4	12.48	12.63	0.0506	60	6.11	10.66	0.354	5.081	14.338	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	165	135951	139	0.164383562	0.379713224	0	6	4	0	12	12	59	4.916666667	10.58333333	-4.4833333	851	0.006133677	0.04927955	2.653686041	0.537004869	4.15	4.15
1.1.8	27/07/2012	isdammen	18.54	4.07	6.88	519.1	1	38.48	11.05	2.16	9.56	5	11.66	14.36	0.085	50.68	6.3	9.65	0.585	6.54	11.176	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	327	605628	234	0.225941423	0.287162162	2	22	6	0	36	8	101	2.805555556	0.588888889	-4.4833333	851	0.118610562	-0.058876151	3.823386631	0.699762871	4.15	4.15
1.1.9	27/07/2012	isdammen	17.19	4.04	5.84	405.6	1	26.28	10.58	0.8	7.13	4	12.31	18.31	0.0677	46.88	6.45	12.34	0.305	4.757	15.603	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672654.9	509698.9	33	NA	NA	NA	NA	202	139763	178	0.112201964	0.402587519	0	12	0	0	29	13	56	1.931034483	1.260869565	-4.4833333	851	-0.016730173	-0.159007606	3.425204295	0.667694332	4.15	4.15
1.2.10	27/07/2012	isdammen	9.26	3.52	2.88	93.9	1	43.42	12.25	0	12.25	3	8.46	11.08	0.0426	28.82	6.02	17	0.467	7.506	16.062	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	205	109188	180	0	0.282128052	2	6	4	0	21	11	84	4	0.903225806	-4.4833333	851	-0.057825323	-0.015067538	4.023526252	0.772346088	4.15	4.15
1.2.11	02/09/2012	isdammen	11.22	4.97	2.75	153.3	1	33.96	11.78	1.95	9.62	4	12.22	9.21	0.1343	56.33	6.3	9.77	0.326	4.949	15.198	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	200	84265	178	0.202702703	0.346878681	1	18	2	0	22	12	87	3.954545455	0.406896552	-4.4833333	851	0.077683756	-0.014582447	4.06846834	0.79127471	4.15	4.15
1.2.12	02/09/2012	isdammen	11.91	4.43	3.28	173.1	1	21.12	9.98	1.11	8.24	4	10.89	8.07	0.2041	77.22	6.27	10.49	0.388	8.586	22.132	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	192	53263	182	0.134708738	0.472537879	0	17	0	0	27	14	84	3.111111111	1.04	-4.4833333	851	0.008936202	-0.054305951	4.016817244	0.771058244	4.15	4.15
1.2.13	02/09/2012	isdammen	9.52	3.77	2.34	84	1	29.57	10.27	0	10.27	4	11.8	12.87	0.1047	42.18	6.03	14.36	0.378	6.254	16.563	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	250	120344	215	0	0.347311464	4	20	6	0	36	13	77	2.138888889	0.404255319	-4.4833333	851	0.03810974	-0.030552127	4.080363268	0.757798683	4.15	4.15
1.2.14	02/09/2012	isdammen	13.47	5.02	3.09	208.9	1	44.37	12.9	1.9	10.61	7	16.92	11.07	0.1059	40.58	6.14	10.68	0.33	5.321	16.14	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	187	32777	183	0.179076343	0.290736984	3	15	8	0	24	6	80	3.333333333	0.164179104	-4.4833333	851	-0.047350749	-0.04178645	3.655373229	0.703159626	4.15	4.15
1.2.15	02/09/2012	isdammen	13.5	4.34	3.95	231.4	1	48.92	12.53	0	12.53	5	17.8	14.09	0.0864	48.56	6.18	14.27	0.341	4.872	14.3	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	212	81922	194	0	0.256132461	6	28	5	0	21	11	56	2.666666667	0.127388535	-4.4833333	851	-0.006514191	-0.0095167	3.769322825	0.721298421	4.15	4.15
1.2.21	13/06/2013	isdammen	11.83	3.99	3.86	182.2	1	38.68	0	0	0	NA	NA	NA	0.1059	56.36	6.33	8.85	0.258	3.37	13.079	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	154	61521	146	NA	0	0	15	2	0	34	13	52	1.529411765	0.241025641	-3.275	792	0.160090708	0.02510845	3.275742191	0.658211261	4.15	5.15
1.2.22	13/06/2013	isdammen	9.62	5.58	4	214.7	0	NA	NA	NA	NA	NA	NA	NA	0.1136	48.6	6.02	8.27	0.28	3.691	13.198	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	122	46263	113	NA	NA	1	10	6	0	22	7	30	1.363636364	0.944444444	-3.275	792	0.157640936	0.097963833	2.854767976	0.60501614	4.15	5.15
1.2.23	13/06/2013	isdammen	8.27	6.23	3.97	204.5	0	NA	NA	NA	NA	NA	NA	NA	0.0886	43.02	5.82	8.56	0.287	3.939	13.735	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	150	32670	143	NA	NA	2	7	6	0	23	11	54	2.347826087	1.034146341	-3.275	792	0.201178421	0.104794558	3.52181325	0.706679623	4.15	5.15
1.2.24	13/06/2013	isdammen	15.85	4.7	3.46	257.8	1	17.08	0	0	0	NA	NA	NA	0.1427	60.4	6.02	8.13	0.206	3.536	17.145	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	166	75534	153	NA	0	0	9	5	0	24	16	64	2.666666667	0.496932515	-3.275	792	0.13843236	-0.026577538	4.193565012	0.832559951	4.15	5.15
1.2.25	13/06/2013	isdammen	9.02	4.56	3.79	155.9	1	34.16	0	0	0	NA	NA	NA	0.0837	59.9	5.96	9.91	0.333	4.774	14.324	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	168	50009	153	NA	0	1	14	9	0	25	14	54	2.16	0.963768116	-3.275	792	0.166216255	0.059476741	3.467709073	0.685826838	4.15	5.15
1.2.27	27/07/2013	isdammen	10.67	6.19	4.09	270.1	1	37.45	13.34	0	13.34	4	14.8	12.76	0.1501	73.74	6.02	9.85	0.417	5.216	12.524	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	168	25915	166	0	0.356208278	3	20	3	0	28	14	71	2.535714286	0.606557377	-3.275	792	0.218378966	0.040837925	3.893007685	0.760651112	4.15	5.15
1.2.28	27/07/2013	isdammen	9.93	5.74	3.49	198.9	1	33.56	10.86	0	10.86	4	16.14	14.52	0.1256	71.11	6.12	9.67	0.309	4.139	13.387	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	125	46809	124	0	0.323599523	1	12	6	0	24	9	61	2.541666667	1.76146789	-3.275	792	0.299717494	0.079248706	3.089174884	0.644142995	4.15	5.15
1.2.29	27/07/2013	isdammen	17.14	4.64	4.63	368.2	1	41.59	16.2	3.86	12.89	4	16.93	13.1	0.2823	54.94	6.11	8.99	0.341	4.233	12.417	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	186	43504	182	0.299456943	0.389516711	7	23	7	0	36	13	54	1.5	0.359375	-3.275	792	0.234582789	0.03844081	3.501072687	0.675650122	4.15	5.15
1.2.30	27/07/2013	isdammen	11.99	3.48	3.61	150.6	1	27.94	7.77	0	7.77	3	15.51	17.59	0.1862	62.46	6.04	9.34	0.259	3.502	13.515	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	144	25069	143	0	0.27809592	0	15	3	0	19	12	76	4	5.333333333	-3.275	792	0.215779095	0.058713381	3.690534523	0.743632896	4.15	5.15
1.2.31	09/09/2013	isdammen	18.15	4.02	4.39	320.3	1	35.86	14.71	0	14.71	5	12.64	14.32	0.1632	56.45	6.34	11.01	0.301	4.659	15.486	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	147	26173	147	0	0.410206358	1	15	4	0	26	9	61	2.346153846	0.909774436	-3.275	792	0.172282152	0.062349699	3.453039106	0.693836417	4.15	5.15
1.2.32	09/09/2013	isdammen	14.59	6.71	3.92	383.8	1	33.53	10.39	0	10.39	6	16.79	18.85	0.2284	93.67	3.38	12.86	0.49	7.686	15.694	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	111	26509	109	0	0.309871757	0	6	3	0	17	8	55	3.235294118	2.704918033	-3.275	792	0.149714979	0.056509135	3.23896709	0.690412899	4.15	5.15
1.2.33	09/09/2013	isdammen	10.57	6.39	3.63	245.2	1	24.18	10.8	0	10.8	5	6.7	9.18	0.1071	54.69	6.43	9.37	0.31	5.1	16.445	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	140	40468	130	0	0.446650124	0	15	3	0	18	6	56	3.111111111	7.166666667	-3.275	792	0.234692319	0.056290359	2.760619899	0.563640301	4.15	5.15
1.2.34	09/09/2013	isdammen	14.47	6.21	3.25	292	1	43.16	14.93	0	14.93	6	15.35	15.82	0.1729	45.73	6.3	11.05	0.384	6.432	16.738	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	135	34432	134	0	0.34592215	1	16	5	0	27	7	49	1.814814815	0.427083333	-3.275	792	0.079787723	0.05146816	3.630743572	0.742430341	4.15	5.15
1.2.6	27/07/2012	isdammen	12.47	3.58	3.99	178.1	1	16.15	7.96	3.71	6.45	4	11.04	11.8	0.0454	37.43	6.13	10.75	0.33	4.989	15.124	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	193	104720	168	0.575193798	0.492879257	1	13	4	0	21	7	54	2.571428571	0.341085271	-4.4833333	851	0.037177226	0.014971353	3.868824975	0.762303936	4.15	4.15
1.2.7	27/07/2012	isdammen	17.3	4.57	5.29	418.2	1	42.32	11.85	1.98	9.75	4	11.65	14.47	0.1342	50.43	6.13	11.38	0.383	5.451	14.244	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	158	69507	138	0.203076923	0.280009452	2	23	4	0	17	11	65	3.823529412	3.148148148	-4.4833333	851	0.187402494	0.043699903	2.869100515	0.577305493	4.15	4.15
1.2.8	27/07/2012	isdammen	9.63	4.02	5.54	214.5	1	41.22	11.76	0	10.79	5	13.75	12.03	0.1224	75.87	6.23	9.31	0.289	3.983	13.769	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	221	181658	169	0	0.285298399	0	12	4	0	17	11	79	4.647058824	1.161538462	-4.4833333	851	0.149573811	-0.017705116	3.093111853	0.606508405	4.15	4.15
1.2.9	27/07/2012	isdammen	9.19	3.58	2.4	79	1	30.2	11.74	0	11.74	2	13.34	13.63	0.0451	32.74	6.07	9.77	0.356	4.825	13.551	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672652.7	509697.3	33	NA	NA	NA	NA	195	107769	171	0	0.388741722	2	9	4	0	13	5	85	6.538461538	0.099378882	-4.4833333	851	0.004316761	0.016408516	4.013940484	0.775468387	4.15	4.15
1.3.10	27/07/2012	isdammen	12.2	5.21	6.19	393.4	1	36.07	18.72	3.01	16.38	3	15.27	11.07	0.073	35.1	5.99	13.84	0.41	6.638	16.195	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672653.8	509704.2	33	NA	NA	NA	NA	193	128037	171	0.183760684	0.518990851	3	13	11	0	33	11	61	1.848484848	0.897058824	-4.4833333	851	0.216391368	0.003189712	3.606321542	0.702192967	4.15	4.15
1.3.11	02/09/2012	isdammen	8.17	3.67	2.51	75.3	1	28.88	9.02	0	9.02	2	11.35	6.29	0.0898	66.87	6.27	7.89	0.273	3.858	14.137	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672653.8	509704.2	33	NA	NA	NA	NA	183	109687	143	0	0.31232687	6	7	5	0	25	3	54	2.16	4.409090909	-4.4833333	851	0.328840641	-0.129958913	2.567158428	0.519494979	4.15	4.15
1.3.12	02/09/2012	isdammen	11.76	4.3	3.31	167.4	1	40.75	0	0	NA	6	16.56	17.78	0.0755	48.41	6.24	10.76	0.372	6.286	16.896	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672653.8	509704.2	33	NA	NA	NA	NA	187	62554	159	NA	0	3	11	7	0	24	14	73	3.041666667	1.137096774	-4.4833333	851	0.285032942	0.044853249	3.248116602	0.638438348	4.15	4.15
1.3.13	02/09/2012	isdammen	11.84	4.33	2.54	130.2	1	28.19	5.05	0	5.05	4	13.47	8.51	0.1665	65.98	6.28	8.27	0.247	3.541	14.314	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672653.8	509704.2	33	NA	NA	NA	NA	173	67314	151	0	0.17914154	1	11	6	0	27	12	75	2.777777778	1.723809524	-4.4833333	851	0.252481649	0.067639103	3.698875114	0.73340538	4.15	4.15
1.3.14	02/09/2012	isdammen	10.4	4.91	2.64	134.8	1	19.45	11.37	0	11.37	5	10.56	9.5	0.0931	45.55	6.2	11.72	0.341	5.438	15.965	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672653.8	509704.2	33	NA	NA	NA	NA	161	36626	155	0	0.584575835	0	12	2	0	22	11	78	3.545454545	0.892857143	-4.4833333	851	0.282116537	0.075099094	3.376156582	0.670277616	4.15	4.15
1.3.15	02/09/2012	isdammen	16.39	4.13	2.66	180.1	1	37.75	0	0	0	7	17.24	18.16	0.1352	42.21	6.16	11.09	0.305	4.46	14.609	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672653.8	509704.2	33	NA	NA	NA	NA	118	32284	114	NA	0	0	15	5	0	21	11	49	2.333333333	2.392405063	-4.4833333	851	0.323829558	0.053680723	3.09692127	0.651491009	4.15	4.15
1.3.21	13/06/2013	isdammen	8.66	4.1	2.98	105.8	0	NA	NA	NA	NA	NA	NA	NA	0.0983	59.82	6.03	13.1	0.378	6.433	16.998	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672653.8	509704.2	33	NA	NA	NA	NA	150	54159	143	NA	NA	0	15	3	0	27	7	64	2.37037037	1.46728972	-3.275	792	0.17985535	0.020856133	3.506679004	0.705595722	4.15	5.15
1.3.22	13/06/2013	isdammen	10.03	4.59	3.32	152.8	1	31.13	0	0	0	NA	NA	NA	0.1663	64.58	6.23	11.32	0.363	5.224	14.398	NA	NA	illumina	Adventdalen	Isdammen	natural tundra (Dryas heathland)	8672653.8	509704.2	33	NA	NA	NA	NA	174	83577	158	NA	0	0	11	2	0	23	12	80	3.47826087	0.477272727	-3.275	792	0.034109708	0.005219909	4.192956242	0.829262738	4.15	5.15
